"Name","Date","VS","Score","ATS","O/U"
"Nets","16-May","CLE","W 123-109","W -13","O 225.5"
"Nets","15-May","CHI","W 105-91","W -11","U 231.5"
"Nets","12-May","SA","W 128-116","W -4.5","O 233.5"
"Nets","11-May","@ CHI","W 115-107","W -4.5","U 234.5"
"Nets","8-May","@ DEN","W 125-119","W -4","O 232"
"Nets","6-May","@ DAL","L 109-113","L -2.5","U 235.5"
"Nets","4-May","@ MIL","L 118-124","L 3","U 243"
"Nets","2-May","@ MIL","L 114-117","L 2.5","U 242.5"
"Nets","30-Apr","POR","L 109-128","L 3","U 241.5"
"Nets","29-Apr","@ IND","W 130-113","W -5","O 242"
"Nets","27-Apr","@ TOR","W 116-103","W -4.5","U 232.5"
"Nets","25-Apr","PHO","W 128-119","W -1","O 231.5"
"Nets","23-Apr","BOS","W 109-104","W -3.5","U 225.5"
"Nets","21-Apr","@ TOR","L 103-114","L 4.5","U 232"
"Nets","20-Apr","@ NO","W 134-129","W 3","O 235"
"Nets","18-Apr","@ MIA","L 107-109","L -5","U 223.5"
"Nets","16-Apr","CHA","W 130-115","W -12","O 224"
"Nets","14-Apr","@ PHI","L 117-123","W 9","O 225"
"Nets","13-Apr","@ MIN","W 127-97","W -7.5","U 232.5"
"Nets","10-Apr","LAL","L 101-126","L -11.5","O 223"
"Nets","7-Apr","NO","W 139-111","W -8.5","O 234"
"Nets","5-Apr","NY","W 114-112","L -6.5","O 217.5"
"Nets","4-Apr","@ CHI","L 107-115","L -2.5","U 223.5"
"Nets","1-Apr","CHA","W 111-89","W -2.5","U 223.5"
"Nets","31-Mar","HOU","W 120-108","L -12.5","U 229"
"Nets","29-Mar","MIN","W 112-107","L -10.5","U 239.5"
"Nets","26-Mar","@ DET","W 113-111","L -6.5","O 217.5"
"Nets","24-Mar","@ UTA","L 88-118","L 13","U 227.5"
"Nets","23-Mar","@ POR","W 116-112","W 2","U 232"
"Nets","21-Mar","WAS","W 113-106","L -9","U 248.5"
"Nets","19-Mar","@ ORL","L 113-121","L -10.5","O 225.5"
"Nets","17-Mar","@ IND","W 124-115","W 1.5","O 229.5"
"Nets","15-Mar","NY","W 117-112","L -8.5","O 223.5"
"Nets","13-Mar","DET","W 100-95","L -11","U 226"
"Nets","11-Mar","BOS","W 121-109","W -2.5","U 232"
"Nets","3-Mar","@ HOU","W 132-114","W -10.5","O 226.5"
"Nets","1-Mar","@ SA","W 124-113 (OT)","W -4","O 233.5"
"Nets","27-Feb","DAL","L 98-115","L 1","U 233.5"
"Nets","25-Feb","ORL","W 129-92","W -8.5","U 229.5"
"Nets","23-Feb","SAC","W 127-118","W -5.5","O 241.5"
"Nets","21-Feb","@ LAC","W 112-108","W 6.5","U 235"
"Nets","18-Feb","@ LAL","W 109-98","W 3","U 230.5"
"Nets","16-Feb","@ PHO","W 128-124","W 8","O 227"
"Nets","15-Feb","@ SAC","W 136-125","W -4.5","O 243"
"Nets","13-Feb","@ GS","W 134-117","W -3","O 246"
"Nets","10-Feb","IND","W 104-94","W 1.5","U 234.5"
